Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
201,Zamir White,5,1,Sun,1,1,9/10/23,23-357,LVR,@,DEN,W 17-16,1,1,5,5,0,100,5,,0,RB
202,Javonte Williams,5,6,Sun,1,1,9/10/23,23-138,DEN,,LVR,L 16-17,6,4,5,1.3,0,66.7,0.8,0,16.7,RB
203,Isaiah Likely,4,1,Sun,1,1,9/10/23,23-145,BAL,,HOU,W 25-9,1,1,4,4,0,100,4,,100,TE
204,Josh Palmer,4,1,Sun,1,1,9/10/23,23-353,LAC,,MIA,L 34-36,1,1,4,4,0,100,4,,100,WR
205,Dalton Schultz,4,4,Sun,1,1,9/10/23,27-061,HOU,@,BAL,L 9-25,4,2,4,2,0,50,1,,25,TE
206,Michael Burton,3,1,Sun,1,1,9/10/23,31-221,DEN,,LVR,L 16-17,1,1,3,3,0,100,3,1,100,FB
207,Pat Freiermuth,3,4,Sun,1,1,9/10/23,24-320,PIT,,SFO,L 7-30,4,1,3,3,1,25,0.8,1,25,TE
208,Kenneth Walker III,3,5,Sun,1,1,9/10/23,22-325,SEA,,LAR,L 13-30,5,4,3,0.8,0,80,0.6,1,40,RB
209,Parris Campbell,2,4,Sun,1,1,9/10/23,26-056,NYG,,DAL,L 0-40,4,1,2,2,0,25,0.5,,0,WR
210,Tyler Conklin,2,1,Mon,1,1,9/11/23,28-043,NYJ,,BUF,W 22-16 (OT),1,1,2,2,0,100,2,,0,TE
211,Najee Harris,2,2,Sun,1,1,9/10/23,25-185,PIT,,SFO,L 7-30,2,2,2,1,0,100,1,0,50,RB
212,Giovanni Ricci,2,1,Sun,1,1,9/10/23,26-329,CAR,@,ATL,L 10-24,1,1,2,2,0,100,2,,0,TE
213,Kyren Williams,2,2,Sun,1,1,9/10/23,23-015,LAR,@,SEA,W 30-13,2,0,2,,0,0,1,0,0,RB
214,Daniel Bellinger,1,1,Sun,1,1,9/10/23,22-353,NYG,,DAL,L 0-40,1,1,1,1,0,100,1,,0,TE
215,Tyjae Spears,1,4,Sun,1,1,9/10/23,22-087,TEN,@,NOR,L 15-16,4,1,1,1,0,25,0.3,0,0,RB
216,Kadarius Toney,1,5,Thu,1,1,9/7/23,24-223,KAN,,DET,L 20-21,5,1,1,1,0,20,0.2,,0,WR
217,Ameer Abdullah,0,1,Sun,1,1,9/10/23,30-089,LVR,@,DEN,W 17-16,1,0,0,,0,0,0,,0,RB
218,Salvon Ahmed,0,3,Sun,1,1,9/10/23,24-255,MIA,@,LAC,W 36-34,3,0,0,,0,0,0,,0,RB
219,Mo Alie-Cox,0,2,Sun,1,1,9/10/23,29-356,IND,,JAX,L 21-31,2,0,0,,0,0,0,,0,TE
220,David Bell,0,1,Sun,1,1,9/10/23,22-270,CLE,,CIN,W 24-3,1,0,0,,0,0,0,,0,WR
221,Tank Bigsby,0,1,Sun,1,1,9/10/23,22-011,JAX,@,IND,W 31-21,1,0,0,,0,0,0,0,0,RB
222,Khari Blasingame,0,1,Sun,1,1,9/10/23,27-071,CHI,,GNB,L 20-38,1,0,0,,0,0,0,,0,FB
223,Kayshon Boutte,0,4,Sun,1,1,9/10/23,21-126,NWE,,PHI,L 20-25,4,0,0,,0,0,0,,0,WR
224,Chase Claypool,0,2,Sun,1,1,9/10/23,25-065,CHI,,GNB,L 20-38,2,0,0,,0,0,0,,0,WR
225,Randall Cobb,0,1,Mon,1,1,9/11/23,33-020,NYJ,,BUF,W 22-16 (OT),1,0,0,,0,0,0,,0,WR
226,Phillip Dorsett,0,1,Sun,1,1,9/10/23,30-248,DEN,,LVR,L 16-17,1,0,0,,0,0,0,,0,WR
227,Dallas Goedert,0,1,Sun,1,1,9/10/23,28-250,PHI,@,NWE,W 25-20,1,0,0,,0,0,0,,0,TE
228,Marquise Goodwin,0,2,Sun,1,1,9/10/23,32-295,CLE,,CIN,W 24-3,2,0,0,,0,0,0,,0,WR
229,Malik Heath,0,1,Sun,1,1,9/10/23,23-191,GNB,@,CHI,W 38-20,1,0,0,,0,0,0,,0,WR
230,Peyton Hendershot,0,1,Sun,1,1,9/10/23,24-140,DAL,@,NYG,W 40-0,1,0,0,,0,0,0,,0,TE
231,Tee Higgins,0,8,Sun,1,1,9/10/23,24-235,CIN,@,CLE,L 3-24,8,0,0,,0,0,0,,0,WR
232,Taysom Hill,0,1,Sun,1,1,9/10/23,33-018,NOR,,TEN,W 16-15,1,0,0,,0,0,0,,0,QB
233,Jalin Hyatt,0,1,Sun,1,1,9/10/23,21-350,NYG,,DAL,L 0-40,1,0,0,,0,0,0,,0,WR
234,Jauan Jennings,0,1,Sun,1,1,9/10/23,26-062,SFO,@,PIT,W 30-7,1,0,0,,0,0,0,,0,WR
