Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
1,Tyreek Hill,215,15,Sun,1,1,9/10/23,29-193,MIA,@,LAC,W 36-34,15,11,215,19.5,2,73.3,14.3,9,66.7,WR
2,Justin Jefferson,150,12,Sun,1,1,9/10/23,24-086,MIN,,TAM,L 17-20,12,9,150,16.7,0,75,12.5,5,66.7,WR
3,Brandon Aiyuk,129,8,Sun,1,1,9/10/23,25-177,SFO,@,PIT,W 30-7,8,8,129,16.1,2,100,16.1,8,100,WR
4,Tutu Atwell,119,8,Sun,1,1,9/10/23,23-338,LAR,@,SEA,W 30-13,8,6,119,19.8,0,75,14.9,6,75,WR
5,Puka Nacua,119,15,Sun,1,1,9/10/23,22-104,LAR,@,SEA,W 30-13,15,10,119,11.9,0,66.7,7.9,6,53.3,WR
6,Chris Olave,112,10,Sun,1,1,9/10/23,23-075,NOR,,TEN,W 16-15,10,8,112,14,0,80,11.2,6,80,WR
7,Stefon Diggs,102,13,Mon,1,1,9/11/23,29-286,BUF,@,NYJ,L 16-22 (OT),13,10,102,10.2,1,76.9,7.8,6,69.2,WR
8,Calvin Ridley,101,11,Sun,1,1,9/10/23,28-264,JAX,@,IND,W 31-21,11,8,101,12.6,1,72.7,9.2,4,63.6,WR
9,Michael Pittman Jr.,97,11,Sun,1,1,9/10/23,25-340,IND,,JAX,L 21-31,11,8,97,12.1,1,72.7,8.8,4,54.5,WR
10,Rashid Shaheed,89,6,Sun,1,1,9/10/23,25-010,NOR,,TEN,W 16-15,6,5,89,17.8,1,83.3,14.8,3,66.7,WR
11,Aaron Jones,86,4,Sun,1,1,9/10/23,28-282,GNB,@,CHI,W 38-20,4,2,86,43,1,50,21.5,2,50,RB
12,Jakobi Meyers,81,10,Sun,1,1,9/10/23,26-305,LVR,@,DEN,W 17-16,10,9,81,9,2,90,8.1,5,50,WR
13,Nico Collins,80,11,Sun,1,1,9/10/23,24-175,HOU,@,BAL,L 9-25,11,6,80,13.3,0,54.5,7.3,3,45.5,WR
14,Josh Reynolds,80,7,Thu,1,1,9/7/23,28-203,DET,@,KAN,W 21-20,7,4,80,20,0,57.1,11.4,4,57.1,WR
15,A.J. Brown,79,10,Sun,1,1,9/10/23,26-072,PHI,@,NWE,W 25-20,10,7,79,11.3,0,70,7.9,4,40,WR
16,Zay Flowers,78,10,Sun,1,1,9/10/23,22-364,BAL,,HOU,W 25-9,10,9,78,8.7,0,90,7.8,5,50,WR
17,Jaylen Waddle,78,5,Sun,1,1,9/10/23,24-289,MIA,@,LAC,W 36-34,5,4,78,19.5,0,80,15.6,3,80,WR
18,CeeDee Lamb,77,4,Sun,1,1,9/10/23,24-155,DAL,@,NYG,W 40-0,4,4,77,19.3,0,100,19.3,3,75,WR
19,Keenan Allen,76,9,Sun,1,1,9/10/23,31-136,LAC,,MIA,L 34-36,9,6,76,12.7,0,66.7,8.4,2,66.7,WR
20,Amon-Ra St. Brown,71,9,Thu,1,1,9/7/23,23-318,DET,@,KAN,W 21-20,9,6,71,11.8,1,66.7,7.9,4,66.7,WR
21,Davante Adams,66,9,Sun,1,1,9/10/23,30-260,LVR,@,DEN,W 17-16,9,6,66,11,0,66.7,7.3,4,55.6,WR
22,Mike Evans,66,10,Sun,1,1,9/10/23,30-020,TAM,@,MIN,W 20-17,10,6,66,11,1,60,6.6,2,60,WR
23,DeAndre Hopkins,65,13,Sun,1,1,9/10/23,31-096,TEN,@,NOR,L 15-16,13,7,65,9.3,0,53.8,5,3,38.5,WR
24,Kendrick Bourne,64,11,Sun,1,1,9/10/23,28-037,NWE,,PHI,L 20-25,11,6,64,10.7,2,54.5,5.8,3,36.4,WR
25,Allen Robinson,64,8,Sun,1,1,9/10/23,30-017,PIT,,SFO,L 7-30,8,5,64,12.8,0,62.5,8,2,37.5,WR
26,Rhamondre Stevenson,64,6,Sun,1,1,9/10/23,25-199,NWE,,PHI,L 20-25,6,6,64,10.7,0,100,10.7,3,50,RB
27,Jordan Addison,61,6,Sun,1,1,9/10/23,21-226,MIN,,TAM,L 17-20,6,4,61,15.3,1,66.7,10.2,2,50,WR
28,Michael Thomas,61,8,Sun,1,1,9/10/23,30-191,NOR,,TEN,W 16-15,8,5,61,12.2,0,62.5,7.6,2,37.5,WR
29,Nick Westbrook-Ikhine,58,7,Sun,1,1,9/10/23,26-173,TEN,@,NOR,L 15-16,7,4,58,14.5,0,57.1,8.3,3,42.9,WR
30,Robert Woods,57,10,Sun,1,1,9/10/23,31-153,HOU,@,BAL,L 9-25,10,6,57,9.5,0,60,5.7,4,50,WR
31,Derrick Henry,56,3,Sun,1,1,9/10/23,29-249,TEN,@,NOR,L 15-16,3,2,56,28,0,66.7,18.7,1,33.3,RB
32,Hunter Henry,56,6,Sun,1,1,9/10/23,28-277,NWE,,PHI,L 20-25,6,5,56,11.2,1,83.3,9.3,5,83.3,TE
33,Zay Jones,55,7,Sun,1,1,9/10/23,28-164,JAX,@,IND,W 31-21,7,5,55,11,1,71.4,7.9,4,71.4,WR
34,Deebo Samuel,55,7,Sun,1,1,9/10/23,27-238,SFO,@,PIT,W 30-7,7,5,55,11,0,71.4,7.9,3,57.1,WR
35,Curtis Samuel,54,5,Sun,1,1,9/10/23,27-030,WAS,,ARI,W 20-16,5,5,54,10.8,0,100,10.8,2,40,WR
36,Darnell Mooney,53,7,Sun,1,1,9/10/23,25-316,CHI,,GNB,L 20-38,7,4,53,13.3,1,57.1,7.6,3,42.9,WR
37,Chris Godwin,51,6,Sun,1,1,9/10/23,27-195,TAM,@,MIN,W 20-17,6,5,51,10.2,0,83.3,8.5,4,83.3,WR
38,Luke Musgrave,50,4,Sun,1,1,9/10/23,23-008,GNB,@,CHI,W 38-20,4,3,50,16.7,0,75,12.5,1,25,TE
39,Evan Engram,49,5,Sun,1,1,9/10/23,29-008,JAX,@,IND,W 31-21,5,5,49,9.8,0,100,9.8,2,80,TE
40,Tyler Higbee,49,3,Sun,1,1,9/10/23,30-252,LAR,@,SEA,W 30-13,3,3,49,16.3,0,100,16.3,3,100,TE
41,Diontae Johnson,48,6,Sun,1,1,9/10/23,27-067,PIT,,SFO,L 7-30,6,3,48,16,0,50,8,2,50,WR
42,Jayden Reed,48,5,Sun,1,1,9/10/23,23-135,GNB,@,CHI,W 38-20,5,2,48,24,0,40,9.6,2,40,WR
43,Marquez Valdes-Scantling,48,2,Thu,1,1,9/7/23,28-332,KAN,,DET,L 20-21,2,2,48,24,0,100,24,2,100,WR
44,Austin Ekeler,47,5,Sun,1,1,9/10/23,28-116,LAC,,MIA,L 34-36,5,4,47,11.8,0,80,9.4,2,40,RB
45,D.K. Metcalf,47,5,Sun,1,1,9/10/23,25-270,SEA,,LAR,L 13-30,5,3,47,15.7,1,60,9.4,2,60,WR
46,DeVonta Smith,47,10,Sun,1,1,9/10/23,24-300,PHI,@,NWE,W 25-20,10,7,47,6.7,1,70,4.7,3,40,WR
47,Allen Lazard,46,4,Mon,1,1,9/11/23,27-274,NYJ,,BUF,W 22-16 (OT),4,2,46,23,0,50,11.5,2,50,WR
48,Justin Watson,45,4,Thu,1,1,9/7/23,27-156,KAN,,DET,L 20-21,4,2,45,22.5,0,50,11.3,2,50,WR
49,Mike Williams,45,5,Sun,1,1,9/10/23,28-341,LAC,,MIA,L 34-36,5,4,45,11.3,0,80,9,1,20,WR
50,Cole Kmet,44,7,Sun,1,1,9/10/23,24-184,CHI,,GNB,L 20-38,7,5,44,8.8,0,71.4,6.3,2,71.4,TE
51,Kyle Pitts,44,3,Sun,1,1,9/10/23,22-339,ATL,,CAR,W 24-10,3,2,44,22,0,66.7,14.7,2,66.7,TE
52,Durham Smythe,44,7,Sun,1,1,9/10/23,28-032,MIA,@,LAC,W 36-34,7,3,44,14.7,0,42.9,6.3,3,42.9,TE
