Rk,Player,Yds,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Pos.
1,Christian McCaffrey,152,22,Sun,1,1,9/10/23,27-095,SFO,@,PIT,W 30-7,22,152,6.9,1,7,45.5,RB
2,Breece Hall,127,10,Mon,1,1,9/11/23,22-103,NYJ,,BUF,W 22-16 (OT),10,127,12.7,0,2,60,RB
3,Austin Ekeler,117,16,Sun,1,1,9/10/23,28-116,LAC,,MIA,L 34-36,16,117,7.3,1,4,75,RB
4,Nick Chubb,106,18,Sun,1,1,9/10/23,27-257,CLE,,CIN,W 24-3,18,106,5.9,0,7,61.1,RB
5,Joshua Kelley,91,16,Sun,1,1,9/10/23,25-294,LAC,,MIA,L 34-36,16,91,5.7,1,8,87.5,RB
6,Travis Etienne,77,18,Sun,1,1,9/10/23,24-227,JAX,@,IND,W 31-21,18,77,4.3,1,4,50,RB
7,Tyler Allgeier,75,15,Sun,1,1,9/10/23,23-148,ATL,,CAR,W 24-10,15,75,5,2,5,46.7,RB
8,David Montgomery,74,21,Thu,1,1,9/7/23,26-092,DET,@,KAN,W 21-20,21,74,3.5,1,4,57.1,RB
9,Miles Sanders,72,18,Sun,1,1,9/10/23,26-132,CAR,@,ATL,L 10-24,18,72,4,0,2,38.9,RB
10,Tony Pollard,70,14,Sun,1,1,9/10/23,26-133,DAL,@,NYG,W 40-0,14,70,5,2,5,57.1,RB
11,Kenneth Walker III,64,12,Sun,1,1,9/10/23,22-325,SEA,,LAR,L 13-30,12,64,5.3,0,3,75,RB
12,Derrick Henry,63,15,Sun,1,1,9/10/23,29-249,TEN,@,NOR,L 15-16,15,63,4.2,0,4,46.7,RB
13,James Conner,62,14,Sun,1,1,9/10/23,28-128,ARI,@,WAS,L 16-20,14,62,4.4,0,3,50,RB
14,Chuba Hubbard,60,9,Sun,1,1,9/10/23,24-091,CAR,@,ATL,L 10-24,9,60,6.7,0,6,77.8,RB
15,Justin Fields,59,9,Sun,1,1,9/10/23,24-189,CHI,,GNB,L 20-38,9,59,6.6,0,2,55.6,QB
16,Brian Robinson Jr.,59,19,Sun,1,1,9/10/23,24-172,WAS,,ARI,W 20-16,19,59,3.1,0,5,42.1,RB
