Rk,Player,Rate,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Pos.
1,Kirk Cousins,125.6,44,Thu,2,2,9/14/23,35-026,MIN,@,PHI,L 28-34,31,44,13,70.5,364,4,0,0,9.1,0,125.6,2,18,4.35,8.3,10.09,9.26,11.7,47.8,QB
2,Josh Allen,124.5,37,Sun,2,2,9/17/23,27-119,BUF,,LVR,W 38-10,31,37,6,83.8,274,3,0,0,8.1,0,124.5,2,7,5.13,7.4,9.03,8.38,8.8,61.5,QB
3,Ryan Tannehill,123.3,24,Sun,2,2,9/17/23,35-052,TEN,,LAC,W 27-24 (OT),20,24,4,83.3,246,1,0,0,4.2,0,123.3,5,46,17.24,10.3,11.08,7.59,12.3,48.3,QB
4,Jared Goff,121.8,35,Sun,2,2,9/17/23,28-338,DET,,SEA,L 31-37 (OT),28,35,7,80,323,3,1,1,8.6,2.9,121.8,2,7,5.41,9.2,9.66,8.95,11.5,64.9,QB
5,Geno Smith,116.3,41,Sun,2,2,9/17/23,32-342,SEA,@,DET,W 37-31 (OT),32,41,9,78,328,2,0,0,4.9,0,116.3,1,17,2.38,8,8.98,8.36,10.3,64.3,QB
6,Baker Mayfield,114.5,34,Sun,2,2,9/17/23,28-156,TAM,,CHI,W 27-17,26,34,8,76.5,317,1,0,0,2.9,0,114.5,0,0,0,9.3,9.91,9.91,12.2,41.2,QB
7,Jordan Love,113.5,25,Sun,2,2,9/17/23,24-319,GNB,@,ATL,L 24-25,14,25,11,56,151,3,0,0,12,0,113.5,1,11,3.85,6,8.44,7.69,10.8,50,QB
8,Lamar Jackson,112.8,33,Sun,2,2,9/17/23,26-253,BAL,@,CIN,W 27-24,24,33,9,72.7,237,2,0,0,6.1,0,112.8,0,0,0,7.2,8.39,8.39,9.9,63.6,QB
9,Dak Prescott,112.2,38,Sun,2,2,9/17/23,30-050,DAL,,NYJ,W 30-10,31,38,7,81.6,255,2,0,0,5.3,0,112.2,1,7,2.56,6.7,7.76,7.38,8.2,53.8,QB
10,Gardner Minshew II,112.1,23,Sun,2,2,9/17/23,27-124,IND,@,HOU,W 31-20,19,23,4,82.6,171,1,0,0,4.3,0,112.1,0,0,0,7.4,8.3,8.3,9,56.5,QB
11,Sam Howell,108.8,39,Sun,2,2,9/17/23,23-001,WAS,@,DEN,W 35-33,27,39,12,69.2,299,2,0,0,5.1,0,108.8,4,33,9.3,7.7,8.69,7.12,11.1,51.2,QB
12,Russell Wilson,107.3,32,Sun,2,2,9/17/23,34-292,DEN,,WAS,L 33-35,18,32,14,56.3,308,3,1,0,9.4,3.1,107.3,7,31,17.95,9.6,10.09,7.49,17.1,38.5,QB
13,Justin Herbert,104.2,41,Sun,2,2,9/17/23,25-191,LAC,@,TEN,L 24-27 (OT),27,41,14,65.9,305,2,0,0,4.9,0,104.2,3,24,6.82,7.4,8.41,7.3,11.3,52.3,QB
14,Daniel Jones,103.5,37,Sun,2,2,9/17/23,26-113,NYG,@,ARI,W 31-28,26,37,11,70.3,321,2,1,0,5.4,2.7,103.5,3,9,7.5,8.7,8.54,7.68,12.3,52.5,QB
15,C.J. Stroud,103.5,47,Sun,2,2,9/17/23,21-349,HOU,,IND,L 20-31,30,47,17,63.8,384,2,0,0,4.3,0,103.5,6,47,11.32,8.2,9.02,7.11,12.8,47.2,QB
16,Taysom Hill,100,1,Mon,2,2,9/18/23,33-026,NOR,@,CAR,W 20-17,1,1,0,100,8,0,0,0,0,0,100,0,0,0,8,8,8,8,100,QB
17,Joshua Dobbs,99.9,31,Sun,2,2,9/17/23,28-234,ARI,,NYG,L 28-31,21,31,10,67.7,228,1,0,0,3.2,0,99.9,0,0,0,7.4,8,8,10.9,51.6,QB
18,Patrick Mahomes,98.1,41,Sun,2,2,9/17/23,28-000,KAN,@,JAX,W 17-9,29,41,12,70.7,305,2,1,0,4.9,2.4,98.1,1,7,2.38,7.4,7.32,6.98,10.5,45.2,QB
19,Jalen Hurts,98,23,Thu,2,2,9/14/23,25-038,PHI,,MIN,W 34-28,18,23,5,78.3,193,1,1,0,4.3,4.3,98,4,22,14.81,8.4,7.3,5.41,10.7,33.3,QB
20,Brock Purdy,93.1,25,Sun,2,2,9/17/23,23-264,SFO,@,LAR,W 30-23,17,25,8,68,206,0,0,0,0,0,93.1,1,0,3.85,8.2,8.24,7.92,12.1,57.7,QB
