Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
1,Mike Evans,171,8,Sun,2,2,9/17/23,30-027,TAM,,CHI,W 27-17,8,6,171,28.5,1,75,21.4,4,62.5,WR
2,Justin Jefferson,159,13,Thu,2,2,9/14/23,24-090,MIN,@,PHI,L 28-34,13,11,159,14.5,0,84.6,12.2,9,76.9,WR
3,Puka Nacua,147,20,Sun,2,2,9/17/23,22-111,LAR,,SFO,L 23-30,20,15,147,9.8,0,75,7.4,7,60,WR
4,Nico Collins,146,9,Sun,2,2,9/17/23,24-182,HOU,,IND,L 20-31,9,7,146,20.9,1,77.8,16.2,6,77.8,WR
5,CeeDee Lamb,143,13,Sun,2,2,9/17/23,24-162,DAL,,NYJ,W 30-10,13,11,143,13,0,84.6,11,7,69.2,WR
6,DeVonta Smith,131,5,Thu,2,2,9/14/23,24-304,PHI,,MIN,W 34-28,5,4,131,32.8,1,80,26.2,2,60,WR
7,George Pickens,127,10,Mon,2,2,9/18/23,22-198,PIT,,CLE,W 26-22,10,4,127,31.8,1,40,12.7,3,40,WR
8,Marvin Mims,113,2,Sun,2,2,9/17/23,21-182,DEN,,WAS,L 33-35,2,2,113,56.5,1,100,56.5,2,100,WR
9,Keenan Allen,111,10,Sun,2,2,9/17/23,31-143,LAC,@,TEN,L 24-27 (OT),10,8,111,13.9,2,80,11.1,5,80,WR
10,Christian Kirk,110,14,Sun,2,2,9/17/23,26-303,JAX,,KAN,L 9-17,14,11,110,10,0,78.6,7.9,6,57.1,WR
11,D.J. Moore,104,7,Sun,2,2,9/17/23,26-156,CHI,@,TAM,L 17-27,7,6,104,17.3,0,85.7,14.9,4,57.1,WR
12,Amon-Ra St. Brown,102,7,Sun,2,2,9/17/23,23-328,DET,,SEA,L 31-37 (OT),7,6,102,17,0,85.7,14.6,3,85.7,WR
13,Gabriel Davis,92,7,Sun,2,2,9/17/23,24-169,BUF,,LVR,W 38-10,7,6,92,15.3,1,85.7,13.1,6,85.7,WR
14,Amari Cooper,90,10,Mon,2,2,9/18/23,29-093,CLE,@,PIT,L 22-26,10,7,90,12.9,0,70,9,6,70,WR
15,Tee Higgins,89,12,Sun,2,2,9/17/23,24-242,CIN,,BAL,L 24-27,12,8,89,11.1,2,66.7,7.4,6,66.7,WR
16,Jalin Hyatt,89,2,Sun,2,2,9/17/23,21-357,NYG,@,ARI,W 31-28,2,2,89,44.5,0,100,44.5,2,100,WR
17,Chris Olave,86,11,Mon,2,2,9/18/23,23-083,NOR,@,CAR,W 20-17,11,6,86,14.3,0,54.5,7.8,3,45.5,WR
18,Jaylen Waddle,86,6,Sun,2,2,9/17/23,24-296,MIA,@,NWE,W 24-17,6,4,86,21.5,0,66.7,14.3,4,66.7,WR
19,Davante Adams,84,8,Sun,2,2,9/17/23,30-267,LVR,@,BUF,L 10-38,8,6,84,14,1,75,10.5,5,75,WR
20,Mike Williams,83,13,Sun,2,2,9/17/23,28-348,LAC,@,TEN,L 24-27 (OT),13,8,83,10.4,0,61.5,6.4,5,53.8,WR
21,Garrett Wilson,83,8,Sun,2,2,9/17/23,23-057,NYJ,@,DAL,L 10-30,8,2,83,41.5,1,25,10.4,2,25,WR
22,Tutu Atwell,77,9,Sun,2,2,9/17/23,23-345,LAR,,SFO,L 23-30,9,7,77,11,0,77.8,8.6,6,77.8,WR
23,Treylon Burks,76,4,Sun,2,2,9/17/23,23-178,TEN,,LAC,W 27-24 (OT),4,3,76,25.3,0,75,19,1,50,WR
24,Darren Waller,76,8,Sun,2,2,9/17/23,31-004,NYG,@,ARI,W 31-28,8,6,76,12.7,0,75,9.5,4,62.5,TE
25,D.K. Metcalf,75,6,Sun,2,2,9/17/23,25-277,SEA,@,DET,W 37-31 (OT),6,6,75,12.5,0,100,12.5,4,100,WR
26,Robert Woods,74,9,Sun,2,2,9/17/23,31-160,HOU,,IND,L 20-31,9,6,74,12.3,0,66.7,8.2,4,55.6,WR
27,Jordan Addison,72,5,Thu,2,2,9/14/23,21-230,MIN,@,PHI,L 28-34,5,3,72,24,1,60,14.4,1,40,WR
28,Tank Dell,72,10,Sun,2,2,9/17/23,23-323,HOU,,IND,L 20-31,10,7,72,10.3,1,70,7.2,2,50,WR
29,Skyy Moore,70,4,Sun,2,2,9/17/23,23-007,KAN,@,JAX,W 17-9,4,3,70,23.3,1,75,17.5,2,75,WR
30,Drake London,67,8,Sun,2,2,9/17/23,22-055,ATL,,GNB,W 25-24,8,6,67,11.2,1,75,8.4,3,62.5,WR
31,Stefon Diggs,66,7,Sun,2,2,9/17/23,29-292,BUF,,LVR,W 38-10,7,7,66,9.4,0,100,9.4,3,85.7,WR
32,T.J. Hockenson,66,8,Thu,2,2,9/14/23,26-073,MIN,@,PHI,L 28-34,8,7,66,9.4,2,87.5,8.3,4,62.5,TE
33,Brandon Johnson,66,3,Sun,2,2,9/17/23,25-053,DEN,,WAS,L 33-35,3,2,66,33,2,66.7,22,2,66.7,WR
34,Josh Reynolds,66,6,Sun,2,2,9/17/23,28-213,DET,,SEA,L 31-37 (OT),6,5,66,13.2,2,83.3,11,5,83.3,WR
35,Courtland Sutton,66,7,Sun,2,2,9/17/23,27-342,DEN,,WAS,L 33-35,7,5,66,13.2,0,71.4,9.4,3,71.4,WR
36,Jaylen Warren,66,6,Mon,2,2,9/18/23,24-321,PIT,,CLE,W 26-22,6,4,66,16.5,0,66.7,11,2,33.3,RB
37,Nelson Agholor,63,6,Sun,2,2,9/17/23,30-116,BAL,@,CIN,W 27-24,6,5,63,12.6,1,83.3,10.5,4,83.3,WR
38,Sam LaPorta,63,6,Sun,2,2,9/17/23,22-248,DET,,SEA,L 31-37 (OT),6,5,63,12.6,0,83.3,10.5,4,66.7,TE
39,Deebo Samuel,63,9,Sun,2,2,9/17/23,27-245,SFO,@,LAR,W 30-23,9,6,63,10.5,0,66.7,7,3,55.6,WR
40,Rashid Shaheed,63,4,Mon,2,2,9/18/23,25-018,NOR,@,CAR,W 20-17,4,4,63,15.8,0,100,15.8,3,75,WR
41,Zay Flowers,62,5,Sun,2,2,9/17/23,23-006,BAL,@,CIN,W 27-24,5,4,62,15.5,0,80,12.4,2,40,WR
42,Darius Slayton,62,6,Sun,2,2,9/17/23,26-248,NYG,@,ARI,W 31-28,6,3,62,20.7,0,50,10.3,3,50,WR
43,Justin Watson,62,5,Sun,2,2,9/17/23,27-166,KAN,@,JAX,W 17-9,5,3,62,20.7,0,60,12.4,2,60,WR
44,Mack Hollins,60,6,Sun,2,2,9/17/23,30-001,ATL,,GNB,W 25-24,6,3,60,20,0,50,10,1,50,WR
45,Tyler Lockett,59,10,Sun,2,2,9/17/23,30-354,SEA,@,DET,W 37-31 (OT),10,8,59,7.4,2,80,5.9,6,70,WR
46,Chris Godwin,58,8,Sun,2,2,9/17/23,27-202,TAM,,CHI,W 27-17,8,5,58,11.6,0,62.5,7.3,2,25,WR
47,Evan Engram,57,8,Sun,2,2,9/17/23,29-015,JAX,,KAN,L 9-17,8,6,57,9.5,0,75,7.1,4,75,TE
