Rk,Player,Rate,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Pos.
1,Brock Purdy,144.4,24,Sun,5,5,10/8/23,23-285,SFO,,DAL,W 42-10,17,24,7,70.8,252,4,0,0,16.7,0,144.4,1,2,4,10.5,13.83,13.2,14.8,68,QB
2,Jared Goff,132.4,28,Sun,5,5,10/8/23,28-359,DET,,CAR,W 42-24,20,28,8,71.4,236,3,0,0,10.7,0,132.4,2,18,6.67,8.4,10.57,9.27,11.8,56.7,QB
3,Justin Fields,125.3,29,Thu,5,5,10/5/23,24-214,CHI,@,WAS,W 40-20,15,29,14,51.7,282,4,0,0,13.8,0,125.3,3,9,9.38,9.7,12.48,11.03,18.8,34.4,QB
4,Drake London,118.7,1,Sun,5,5,10/8/23,22-076,ATL,,HOU,W 21-19,1,1,0,100,22,0,0,0,0,0,118.7,0,0,0,22,22,22,22,100,WR
5,Derek Carr,114.7,26,Sun,5,5,10/8/23,32-194,NOR,@,NWE,W 34-0,18,26,8,69.2,183,2,0,0,7.7,0,114.7,2,15,7.14,7,8.58,7.43,10.2,42.9,QB
6,Gardner Minshew II,112.8,14,Sun,5,5,10/8/23,27-145,IND,,TEN,W 23-16,11,14,3,78.6,155,0,0,0,0,0,112.8,0,0,0,11.1,11.07,11.07,14.1,50,QB
7,Desmond Ridder,111.2,37,Sun,5,5,10/8/23,24-038,ATL,,HOU,W 21-19,28,37,9,75.7,329,1,0,0,2.7,0,111.2,0,0,0,8.9,9.43,9.43,11.8,64.9,QB
8,Patrick Mahomes,109.9,41,Sun,5,5,10/8/23,28-021,KAN,@,MIN,W 27-20,31,41,10,75.6,281,2,0,0,4.9,0,109.9,2,15,4.65,6.9,7.83,7.12,9.1,48.8,QB
9,Joe Burrow,108.1,46,Sun,5,5,10/8/23,26-302,CIN,@,ARI,W 34-20,36,46,10,78.3,317,3,1,0,6.5,2.2,108.1,3,30,6.12,6.9,7.22,6.16,8.8,55.1,QB
10,Russell Wilson,103.7,31,Sun,5,5,10/8/23,34-313,DEN,,NYJ,L 21-31,20,31,11,64.5,196,2,0,0,6.5,0,103.7,4,27,11.43,6.3,7.61,5.97,9.8,40,QB
11,Trevor Lawrence,102.9,37,Sun,5,5,10/8/23,24-002,JAX,@,BUF,W 25-20,25,37,12,67.6,315,1,0,0,2.7,0,102.9,5,37,11.9,8.5,9.05,7.1,12.6,57.1,QB
12,Josh Allen,102,40,Sun,5,5,10/8/23,27-140,BUF,,JAX,L 20-25,27,40,13,67.5,359,2,1,0,5,2.5,102,0,0,0,9,8.85,8.85,13.3,52.5,QB
13,Tua Tagovailoa,100.4,30,Sun,5,5,10/8/23,25-220,MIA,,NYG,W 31-16,22,30,8,73.3,308,2,2,1,6.7,6.7,100.4,1,6,3.23,10.3,8.6,8.13,14,61.3,QB
14,Sam Howell,99.1,51,Thu,5,5,10/5/23,23-019,WAS,,CHI,L 20-40,37,51,14,72.5,388,2,1,0,3.9,2,99.1,5,29,8.93,7.6,7.51,6.32,10.5,53.6,QB
15,Anthony Richardson,98.6,12,Sun,5,5,10/8/23,21-139,IND,,TEN,W 23-16,9,12,3,75,98,0,0,0,0,0,98.6,1,17,7.69,8.2,8.17,6.23,10.9,46.2,QB
16,Tyrod Taylor,94.4,12,Sun,5,5,10/8/23,34-066,NYG,@,MIA,L 16-31,9,12,3,75,86,0,0,0,0,0,94.4,1,3,7.69,7.2,7.17,6.38,9.6,53.8,QB
17,Kirk Cousins,92.9,47,Sun,5,5,10/8/23,35-050,MIN,,KAN,L 20-27,29,47,18,61.7,284,2,0,0,4.3,0,92.9,3,25,6,6,6.89,5.98,9.8,42,QB
18,Matthew Stafford,92.4,37,Sun,5,5,10/8/23,35-243,LAR,,PHI,L 14-23,21,37,16,56.8,222,2,0,0,5.4,0,92.4,4,27,9.76,6,7.08,5.73,10.6,43.9,QB
19,C.J. Stroud,88.9,35,Sun,5,5,10/8/23,22-005,HOU,@,ATL,L 19-21,20,35,15,57.1,249,1,0,0,2.9,0,88.9,0,0,0,7.1,7.69,7.69,12.5,45.7,QB
