Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
201,Ray-Ray McCloud,1,1,Sun,5,5,10/8/23,26-358,SFO,,DAL,W 42-10,1,1,1,1,0,100,1,,0,WR
202,Latavius Murray,1,1,Sun,5,5,10/8/23,33-263,BUF,,JAX,L 20-25,1,1,1,1,0,100,1,,0,RB
203,Tommy Tremble,1,1,Sun,5,5,10/8/23,23-128,CAR,@,DET,L 24-42,1,1,1,1,1,100,1,1,100,TE
204,Deuce Vaughn,1,1,Sun,5,5,10/8/23,21-340,DAL,@,SFO,L 10-42,1,1,1,1,0,100,1,,0,RB
205,Nate Adkins,0,1,Sun,5,5,10/8/23,24-091,DEN,,NYJ,L 21-31,1,0,0,,0,0,0,,0,TE
206,Tyler Allgeier,0,1,Sun,5,5,10/8/23,23-176,ATL,,HOU,W 21-19,1,0,0,,0,0,0,0,0,RB
207,Calvin Austin,0,1,Sun,5,5,10/8/23,24-198,PIT,,BAL,W 17-10,1,0,0,,0,0,0,,0,WR
208,Ronnie Bell,0,1,Sun,5,5,10/8/23,23-253,SFO,,DAL,W 42-10,1,0,0,,0,0,0,,0,WR
209,Miles Boykin,0,1,Sun,5,5,10/8/23,26-361,PIT,,BAL,W 17-10,1,0,0,,0,0,0,,0,WR
210,DeAndre Carter,0,1,Mon,5,5,10/9/23,30-182,LVR,,GNB,W 17-13,1,0,0,,0,0,0,0,0,WR
211,Randall Cobb,0,1,Sun,5,5,10/8/23,33-047,NYJ,@,DEN,W 31-21,1,0,0,,0,0,0,,0,WR
212,AJ Dillon,0,1,Mon,5,5,10/9/23,25-160,GNB,@,LVR,L 13-17,1,0,0,,0,0,0,0,0,RB
213,Rico Dowdle,0,1,Sun,5,5,10/8/23,25-116,DAL,@,SFO,L 10-42,1,0,0,,0,0,0,0,0,RB
214,Devin Duvernay,0,1,Sun,5,5,10/8/23,26-026,BAL,@,PIT,L 10-17,1,0,0,,0,0,0,,0,WR
215,Jimmy Graham,0,1,Sun,5,5,10/8/23,36-318,NOR,@,NWE,W 34-0,1,0,0,,0,0,0,,0,TE
216,Hunter Henry,0,2,Sun,5,5,10/8/23,28-305,NWE,,NOR,L 0-34,2,0,0,,0,0,0,,0,TE
217,Khalil Herbert,0,3,Thu,5,5,10/5/23,25-167,CHI,@,WAS,W 40-20,3,0,0,,0,0,0,0,0,RB
218,Chuba Hubbard,0,2,Sun,5,5,10/8/23,24-119,CAR,@,DET,L 24-42,2,1,0,0,0,50,0,0,0,RB
219,Tim Jones,0,1,Sun,5,5,10/8/23,25-145,JAX,@,BUF,W 25-20,1,0,0,,0,0,0,,0,WR
220,Jordan Mason,0,1,Sun,5,5,10/8/23,24-137,SFO,,DAL,W 42-10,1,0,0,,0,0,0,0,0,RB
221,Darnell Mooney,0,4,Thu,5,5,10/5/23,25-341,CHI,@,WAS,W 40-20,4,0,0,,0,0,0,,0,WR
222,Zach Pascal,0,1,Sun,5,5,10/8/23,28-294,ARI,,CIN,L 20-34,1,0,0,,0,0,0,,0,WR
223,Kyle Philips,0,1,Sun,5,5,10/8/23,24-113,TEN,@,IND,L 16-23,1,0,0,,0,0,0,,0,WR
224,Miles Sanders,0,1,Sun,5,5,10/8/23,26-160,CAR,@,DET,L 24-42,1,0,0,,0,0,0,0,0,RB
225,Luke Schoonmaker,0,1,Sun,5,5,10/8/23,25-010,DAL,@,SFO,L 10-42,1,0,0,,0,0,0,,0,TE
226,Devin Singletary,0,1,Sun,5,5,10/8/23,26-035,HOU,@,ATL,L 19-21,1,0,0,,0,0,0,,0,RB
227,Ben Skowronek,0,1,Sun,5,5,10/8/23,26-103,LAR,,PHI,L 14-23,1,0,0,,0,0,0,,0,WR
228,Equanimeous St. Brown,0,1,Thu,5,5,10/5/23,27-005,CHI,@,WAS,W 40-20,1,0,0,,0,0,0,,0,WR
229,Rhamondre Stevenson,0,2,Sun,5,5,10/8/23,25-227,NWE,,NOR,L 0-34,2,0,0,,0,0,0,,0,RB
230,Brenton Strange,0,1,Sun,5,5,10/8/23,22-285,JAX,@,BUF,W 25-20,1,0,0,,0,0,0,,0,TE
231,Tre Tucker,0,1,Mon,5,5,10/9/23,22-215,LVR,,GNB,W 17-13,1,0,0,,0,0,0,0,0,WR
232,Darnell Washington,0,2,Sun,5,5,10/8/23,22-052,PIT,,BAL,W 17-10,2,0,0,,0,0,0,,0,TE
,,,,,,,,,,,,,,,,,,,,,,
