Team,QB,RB,WR,TE
Arizona Cardinals,Kyler Murray,James Conner,Marvin Harrison Jr.,Trey McBride
Arizona Cardinals,Desmond Ridder,Trey Benson,Michael Wilson,Tip Reiman
Arizona Cardinals,Clayton Tune,Michael Carter,Zay Jones,Elijah Higgins
Arizona Cardinals,,Emari Demercado,Greg Dortch,
Arizona Cardinals,,DeeJay Dallas,Chris Moore,
Arizona Cardinals,,Tony Jones Jr.,Zach Pascal,
Arizona Cardinals,,,Xavier Weaver,
Arizona Cardinals,,,Tejhaun Palmer,
Arizona Cardinals,,,Daniel Arias,
Atlanta Falcons,Kirk Cousins,Bijan Robinson,Drake London,Kyle Pitts
Atlanta Falcons,Michael Penix Jr.,Tyler Allgeier,Darnell Mooney,Charlie Woerner
Atlanta Falcons,Taylor Heinicke,Jase McClellan,Ray-Ray McCloud III,Ross Dwelley
Atlanta Falcons,,Avery Williams,Casey Washington,
Atlanta Falcons,,Carlos Washington Jr.,KhaDarel Hodge,
Atlanta Falcons,,,Josh Ali,
Atlanta Falcons,,,Chris Blair,
Baltimore Ravens,Lamar Jackson,Derrick Henry,Zay Flowers,Mark Andrews
Baltimore Ravens,Josh Johnson,Keaton Mitchell,Rashod Bateman,Isaiah Likely
Baltimore Ravens,Devin Leary,Justice Hill,Devontez Walker,Charlie Kolar
Baltimore Ravens,Malik Cunningham,Rasheen Ali,Nelson Agholor,
Baltimore Ravens,,Patrick Ricard,Deonte Harty,
Baltimore Ravens,,John Kelly Jr.,Russell Gage,
Baltimore Ravens,,,Tylan Wallace,
Baltimore Ravens,,,Keith Kirkwood,
Baltimore Ravens,,,Anthony Miller,
Buffalo Bills,Josh Allen,James Cook,Keon Coleman,Dalton Kincaid
Buffalo Bills,Mitchell Trubisky,Ray Davis,Curtis Samuel,Dawson Knox
Buffalo Bills,Shane Buechele,Ty Johnson,Khalil Shakir,Quintin Morris
Buffalo Bills,,Frank Gore Jr.,Marquez Valdes-Scantling,Zach Davidson
Buffalo Bills,,Darrynton Evans,Mack Hollins,
Buffalo Bills,,Reggie Gilliam,Tyrell Shavers,
Buffalo Bills,,,KJ Hamler,
Buffalo Bills,,,Justin Shorter,
Buffalo Bills,,,Andy Isabella,
Buffalo Bills,,,Damiere Byrd,
Carolina Panthers,Bryce Young,Jonathon Brooks,Diontae Johnson,Ja'Tavion Sanders
Carolina Panthers,Andy Dalton,Chuba Hubbard,Adam Thielen,Tommy Tremble
Carolina Panthers,Jake Luton,Miles Sanders,Xavier Legette,Ian Thomas
